Page,Question,Answer,question,generated_answer,evaluation,correct_answer
5,Who is the main driver?,"The person you declared was the main user of your car, and who’s shown as the main driver on your car insurance details.",Who is the main driver?,"If the main driver is driving another car, they may be included with: TPFT Comp Comp+ The main driver may be covered for liability to others when driving another car.
If they’re covered: - You’ll see this on your certificate of motor insurance. - When the main driver drives any other car, we’ll provide the same cover as ‘If you cause an accident’ above, as long as: - They aren’t covered by another insurance policy. - They don’t own the other car, and it isn’t hired to them under a hire-purchase or leasing agreement. - The car is not a hire, rental or courtesy car, unless we have provided or arranged it. - The owner of the car they’re driving gives their permission. - The car they’re driving is registered and being driven within the territorial limits or in the Republic of Ireland. - You still have your car and it hasn’t been written off.
Check your certificate of motor insurance to see if the main driver is covered for liability to others when driving another car.",0.8440198981637845,"The person you declared was the main user of your car, and who’s shown as the main driver on your car insurance details."
5,What is the market value?,"The cost of replacing your car with another of the same make and model, and of a similar age, mileage, and condition at the time of the accident or loss.",What is the market value?,"Loss of any limb - A limb severed at or above the wrist or ankle, or the total and irrecoverable loss of use of a hand, arm, foot or leg.
Main driver - The person you declared was the main user of your car, and who’s shown as the main driver on your car insurance details.
Market value - The cost of replacing your car with another of the same make and model, and of a similar age, mileage, and condition at the time of the accident or loss.
Modifications - Any changes to your car’s standard specification, including optional extras.
Modifications include changes to the appearance or the performance of your car, including wheels, suspension, bodywork, and engine.
Please note this is not a complete list.
Modifications include changes made to your car by a previous owner.
NCD owner - The person who has earned the No Claim Discount (NCD) that is in use on this policy.
Partner - Your husband, wife, or civil partner, or someone you’re living with as if you’re married to them.",0.8344798195832381,"The cost of replacing your car with another of the same make and model, and of a similar age, mileage, and condition at the time of the accident or loss."
6,What is the first step to making a claim?,"To make a claim, you need to provide your personal details, policy number, car registration number, a description of the loss or damage, and the other driver's details if you've been in an accident.",What is the first step to making a claim?,"On your car or in it.
In your locked private garage.
Plugged into your car. --- # Making a claim If you need to claim, these steps will help you and enable us to process your claim quickly.
Here are some important numbers you'll need if you have an accident: |Need to claim?|0345 878 6261| |---|---| |Windscreen claims|0800 328 9150| |Motor legal helpline|0345 246 2408| |Help with anything else|0345 877 6680| Store these numbers in your phone so you have them available if needed.
Even if you don't make a claim on your car, it's important to let us know about the accident as quickly as possible.
This will enable us to contact the other party and resolve the entire claim, giving you the best service and keep the costs down. # How it works To get the ball rolling, we'll need to know things like: - Your personal details. - Your policy number. - Your car registration number. - A description of the loss or damage. - If you've been in an accident, the other driver's details.",0.8774820895359308,"To make a claim, you need to provide your personal details, policy number, car registration number, a description of the loss or damage, and the other driver's details if you've been in an accident."
6,What should you do if you receive any communication from a court or a threat of legal action?,"If you receive any communication from a court or a threat of legal action, you should contact your insurance company immediately.",What should you do if you receive any communication from a court or a threat of legal action?,"Court A court, tribunal or other suitable authority.
Date of incident - For road traffic accidents – the date the accident happened. - For motoring offences – the date the alleged offence took place. - For motor contract disputes – the date the alleged incident took place.
Preferred law firm The law firm we choose to provide legal services.
We choose these legal specialists as they have the expertise to deal with your claim and comply with our agreed service standards.
Reasonable chance of succeeding For road traffic accident and motor contract dispute claims When we and the appointed representative agree that there is a higher than 50% chance that you’ll get a favourable judgment and do either of the following: - Recover your losses or damages. - Get any other legal remedy we agree to. (For example, an enforcement of judgment, a successful appeal, or a successful defence of an appeal.)",0.7940467091442815,"If you receive any communication from a court or a threat of legal action, you should contact your insurance company immediately."
6,When do you have to pay an excess?,You may have to pay an excess if you are at fault for the accident or if your car is stolen from a public place.,When do you have to pay an excess?,"If there’s a claim while you owe us money If you have made a claim, or one has been made against you before the date that we cancel the policy you must pay to us (1) all instalment payments that have already fallen due under the credit agreement and remain unpaid, and (2) the total remaining balance under the credit agreement.
If we agree to pay your claim and you have not paid the amounts due to us under (1) and (2) above, we may reduce the amount that we pay in settlement of your claim by the amount that you owe us.
Alternatively, if you are in arrears at the time of the claim, we may refuse your claim.
If you owe us an additional premium We may refuse your claim.
If we agree to allow your claim, we may deduct any additional premium from any claim payment we make to you, or we may proportionately reduce any claim payment.
Your right to cancel the policy or remove any optional cover",0.823024938758095,You may have to pay an excess if you are at fault for the accident or if your car is stolen from a public place.
7,What are the steps involved in making a claim for repairs or replacements?,"1. Contact your insurance company and report the incident.
2. Get an estimate for the repairs or replacements.
3. Submit the estimate to your insurance company.
4. Your insurance company will review the estimate and approve the repairs or replacements.
5. You can then take your car to a repair shop to have the repairs or replacements done.",What are the steps involved in making a claim for repairs or replacements?,"On your car or in it.
In your locked private garage.
Plugged into your car. --- # Making a claim If you need to claim, these steps will help you and enable us to process your claim quickly.
Here are some important numbers you'll need if you have an accident: |Need to claim?|0345 878 6261| |---|---| |Windscreen claims|0800 328 9150| |Motor legal helpline|0345 246 2408| |Help with anything else|0345 877 6680| Store these numbers in your phone so you have them available if needed.
Even if you don't make a claim on your car, it's important to let us know about the accident as quickly as possible.
This will enable us to contact the other party and resolve the entire claim, giving you the best service and keep the costs down. # How it works To get the ball rolling, we'll need to know things like: - Your personal details. - Your policy number. - Your car registration number. - A description of the loss or damage. - If you've been in an accident, the other driver's details.",0.8779444479140759,"1.
Contact your insurance company and report the incident. 2.
Get an estimate for the repairs or replacements. 3.
Submit the estimate to your insurance company. 4.
Your insurance company will review the estimate and approve the repairs or replacements. 5.
You can then take your car to a repair shop to have the repairs or replacements done."
7,What are the benefits of using an approved repairer?,"1. You will not need an estimate.
2. You will benefit from our 5-year Guarantee.
3. This means parts, materials and workmanship provided by our approved repairer are guaranteed for five years, unless you sell your car or end your lease.",What are the benefits of using an approved repairer?,"This page explains how we’ll repair your car.
We’ll only do this if it makes financial sense for us to do so.
For more details, see: - Section 2: Fire and theft on page 14. - Section 4: Accidental damage on page 18. - Section 5: Windscreen damage on page 20. # Repairs to your car If our approved repairer carries out the repairs, you do not need an estimate, and you will benefit from our 5-year Guarantee.
This means parts, materials and workmanship provided by our approved repairer are guaranteed for five years, unless you sell your car or end your lease.
Your car will not qualify for repair under our 5-year Guarantee if the cause is a lack of maintenance, wear and tear, or a subsequent incident.",0.9407216951069156,"1.
You will not need an estimate. 2.
You will benefit from our 5-year Guarantee. 3.
This means parts, materials and workmanship provided by our approved repairer are guaranteed for five years, unless you sell your car or end your lease."
7,What happens if I use a repairer of my choice?,"1. You must give us full details of the incident.
2. We must approve the repairer’s detailed assessment of the repairs before the work begins.
3. We may then make the arrangements for the repairs ourselves.
4. Those repairs will NOT be guaranteed by us even though we may pay for them directly.",What happens if I use a repairer of my choice?,"Where we have agreed this with you, reasonable and necessary repairs can be carried out at a repairer of your choice.
However, you must give us full details of the incident and we must approve the repairer’s detailed assessment of the repairs before the work begins.
We may then make the arrangements for the repairs ourselves.
Where the repairs are carried out at a repairer of your choice, those repairs will NOT be guaranteed by us even though we may pay for them directly.
For the purposes of this policy, those repairs will not be treated as being carried out by our approved repairer.
If there is a problem with any aspect of the repair, your first port of call is the repairer who did the original work.
If you’re still unhappy with any aspect of the repairs, please let us know. # Windscreen repairs",0.8989504041559271,"1.
You must give us full details of the incident. 2.
We must approve the repairer’s detailed assessment of the repairs before the work begins. 3.
We may then make the arrangements for the repairs ourselves. 4.
Those repairs will NOT be guaranteed by us even though we may pay for them directly."
8,"What is the maximum amount of cover for property damage under the Third Party, Fire and Theft Essentials policy?","The maximum amount of cover for property damage under the Third Party, Fire and Theft Essentials policy is £20,000,000 per accident (includes all costs and expenses).","What is the maximum amount of cover for property damage under the Third Party, Fire and Theft Essentials policy?","| |Third Party, Fire and Theft|Essentials|Comprehensive|Comprehensive Plus| |---|---|---|---|---| |Section 7: Motor Legal Cover| | | | | |Motor Legal Cover|Check your car insurance details to see if this cover is included|Included|Included|Included| |Overall limit for all claims, including appeals or counterclaims, to do with the same incident|£100,000 if this cover is included|£100,000|£100,000|£100,000| |Road traffic accident|£100,000 if this cover is included|£100,000|£100,000|£100,000| |Motor contract dispute|£100,000 if this cover is included|£100,000|£100,000|£100,000| |Motoring prosecution defence|£100,000 if this cover is included|£100,000|£100,000|£100,000| |Section 8: Guaranteed Hire Car Plus| | | | | |Guaranteed Hire Car Plus|Optional – check your car insurance details|Included|Included|Included| |Amount of time you can have the car for if you use an approved repairer| | | | | |Duration of repair| | | |21 days|",0.8964419868070685,"The maximum amount of cover for property damage under the Third Party, Fire and Theft Essentials policy is £20,000,000 per accident (includes all costs and expenses)."
8,What is the excess for accidental damage claims related to the courtesy car under the Comprehensive policy?,The excess for accidental damage claims related to the courtesy car under the Comprehensive policy is £250.,What is the excess for accidental damage claims related to the courtesy car under the Comprehensive policy?,"|Courtesy car (subject to availability) while your car is being repaired by an approved repairer| |Included|Included if you haven’t picked Guaranteed Hire Car Plus| | |Amount of time you can have the car| |Duration of repair|Replaced by Guaranteed Hire Car Plus – see below| | |Excess for accidental damage claims related to the courtesy car| |£250|The excess in your car insurance details| | --- |What your cover includes| |---| |Third Party, Fire and Theft|Essentials|Comprehensive|Comprehensive Plus|",0.8861388557607242,The excess for accidental damage claims related to the courtesy car under the Comprehensive policy is £250.
8,Is a courtesy car included under the Comprehensive Plus policy?,"Yes, a courtesy car is included under the Comprehensive Plus policy if you haven't picked Guaranteed Hire Car Plus.",Is a courtesy car included under the Comprehensive Plus policy?,"|Courtesy car (subject to availability) while your car is being repaired by an approved repairer| |Included|Included if you haven’t picked Guaranteed Hire Car Plus| | |Amount of time you can have the car| |Duration of repair|Replaced by Guaranteed Hire Car Plus – see below| | |Excess for accidental damage claims related to the courtesy car| |£250|The excess in your car insurance details| | --- |What your cover includes| |---| |Third Party, Fire and Theft|Essentials|Comprehensive|Comprehensive Plus|",0.8977092444859505,"Yes, a courtesy car is included under the Comprehensive Plus policy if you haven't picked Guaranteed Hire Car Plus."
9,What is covered under accidental damage?,"Accidental damage to your car, child car seat replacement, in-car entertainment fitted in your car when it was made, in-car entertainment fitted in your car after it was made, removable electronic equipment, misfuelling, lost or damaged car keys.",What is covered under accidental damage?,"If you’re on: - Essentials - Comprehensive - Comprehensive Plus The cover in this section depends on the type of insurance you have.
This cover is not included with: - Third Party, Fire and Theft Accidental damage to your car Accidental damage to your car If your car is accidentally damaged, we can choose to eiper: - Repair – we’ll repair pe damage ourselves or pay to repair it. - Replace – we’ll replace whatever is lost or damaged, if pat’s more cost-effective. - Repay – we’ll settle your claim by sending a payment. ‘How it works’ on page 6 tells you how we manage repairs and replacements.
If your car is damaged, we’ll also replace any damaged removable electronic equipment, as long as we haven’t sent a payment to cover replacing your car.
Misfuelling (using the wrong fuel) - Included with: Comprehensive, Comprehensive Plus We’ll cover any damage to your car caused by misfuelling.
Child car seats - Included with: Essentials, Comprehensive, Comprehensive Plus",0.8442526924800393,"Accidental damage to your car, child car seat replacement, in-car entertainment fitted in your car when it was made, in-car entertainment fitted in your car after it was made, removable electronic equipment, misfuelling, lost or damaged car keys."
9,What is covered under windscreen damage?,"If you use an approved windscreen supplier, if you choose a different supplier for repairs, if you choose a different supplier for replacement.",What is covered under windscreen damage?,"Car hire If you can’t drive your car because of lost or damaged car keys and have our Guaranteed Hire Car Plus cover, we’ll extend this cover while you’re unable to use your car.
See ‘Section 8: Guaranteed Hire Car Plus’ on page 28.
Page 19 --- # Section 5: Windscreen damage |Windscreen damage|How much am I covered for?| |---|---| |We’ll help put things right if the glass in your car is accidentally damaged.|We’ll provide cover up to the amounts shown in ‘What your cover includes’ on page 8.| This cover is included with: - Essentials - Comprehensive - Comprehensive Plus It’s not included with: - Third Party, Fire and Theft # What we’ll do",0.7998456757518093,"If you use an approved windscreen supplier, if you choose a different supplier for repairs, if you choose a different supplier for replacement."
9,What is covered under windscreen damage?,"If you use an approved windscreen supplier, if you choose a different supplier for repairs, if you choose a different supplier for replacement.",What is covered under windscreen damage?,"Car hire If you can’t drive your car because of lost or damaged car keys and have our Guaranteed Hire Car Plus cover, we’ll extend this cover while you’re unable to use your car.
See ‘Section 8: Guaranteed Hire Car Plus’ on page 28.
Page 19 --- # Section 5: Windscreen damage |Windscreen damage|How much am I covered for?| |---|---| |We’ll help put things right if the glass in your car is accidentally damaged.|We’ll provide cover up to the amounts shown in ‘What your cover includes’ on page 8.| This cover is included with: - Essentials - Comprehensive - Comprehensive Plus It’s not included with: - Third Party, Fire and Theft # What we’ll do",0.8302309450646767,"Accidental damage to the windscreen, sunroof, or windows of your car, as well as any scratching to the bodywork caused by the broken glass."
9,What personal benefits are covered?,"New car replacement, personal belongings, personal accident, medical expenses, hotel expenses, uninsured driver promise, vandalism promise.",What personal benefits are covered?,"If your claim is only for accidental damage to your car’s windscreen, sunroof or windows, you won’t lose the No Claim Discount on this policy.
You’ll need to pay an excess for each incident you claim for. --- # Section 6: Personal benefits # Personal benefits The additional cover you have as part of your car insurance. # Medical expenses Included with: Essential Comp Comp+ If your car is in an accident and people are injured, we’ll cover medical expenses if needed.
This is so long as no other car insurance policy covers the cost.
We’ll cover up to the amounts shown in ‘What your cover includes’ on page 8. # Personal accident Included with: Essential Comp Comp+ We’ll help if you or your partner are accidentally injured or killed in a car accident involving your car. # Uninsured Driver Promise Included with:",0.8229775030590516,"New car replacement, personal belongings, personal accident, medical expenses, hotel expenses, uninsured driver promise, vandalism promise."
10,"What is the overall limit for all claims, including appeals or counterclaims, to do with the same incident?","The overall limit for all claims, including appeals or counterclaims, to do with the same incident is £100,000.","What is the overall limit for all claims, including appeals or counterclaims, to do with the same incident?","- 8 We don’t cover any claim if the amount in dispute is less than £250 including VAT. 8 We don’t cover: - Legal claims for any loss or damage that’s already covered by this policy or any other insurance policy. - Claims that are to do with an incident that happened before your cover started. - Any costs that we haven’t agreed to, or any costs that relate to the period before we accept your claim. - Fines, penalties, compensation or damages you’re ordered to pay by a court. - Any dispute with us under Motor Legal Cover.
However, if you have a complaint, please see ‘If you have a complaint’ on page 42. - Any appeal or enforcement action, unless we provided cover for the original claim. - Psychological injuries or mental illness, unless they were caused by something covered by the policy that also caused you physical injury. - Action against another person insured by this policy, if that person was to blame for the accident.
If you’re prosecuted for a motoring offence",0.8286139035255957,"The overall limit for all claims, including appeals or counterclaims, to do with the same incident is £100,000."
10,What is the amount of time you can have the car for if you use a different repairer?,The amount of time you can have the car for if you use a different repairer is 21 days.,What is the amount of time you can have the car for if you use a different repairer?,"We’ll provide you with a hire car from the point your car goes in for repair: - If you use our approved repairer, until they’ve repaired your car. - If you use your own repairer, for up to 21 days in a row while they’re repairing your car.
If your car can be repaired, and is not driveable As soon as you’ve confirmed that we can start the repair, we’ll provide you with a hire car: - If you use our approved repairer, until they have repaired your car. - If you use your own repairer, for up to 21 days in a row while they’re repairing your car.
If your car is written off, or is stolen and not recovered We’ll provide you with a hire car for whichever is shortest of these two periods: - Up to 21 days in a row. - Up to 5 days after our first (or only) payment has been issued to settle your claim. --- # Section 8: Guaranteed Hire Car Plus",0.8976424295368198,The amount of time you can have the car for if you use a different repairer is 21 days.
10,What is the maximum number of claims allowed?,The maximum number of claims allowed is 2 claims in 3 years.,What is the maximum number of claims allowed?,"Page 25 --- # Section 7: Motor Legal Cover continued Making Motor Legal Cover claims Accepting your claim Before we cover your costs, we must accept that you have a valid claim.
We’ll only accept your claim if: - The incident happened within the territorial limits – except where covered abroad. - You were covered on the date of incident. - The legal proceedings will happen in a court within the territorial limits – except where covered abroad.
Following the policy terms You must do all of the following: - Comply with all of the terms of this policy. - Take all reasonable precautions to minimise the cost of claims. - Take all reasonable precautions to prevent a claim from happening.
If you haven’t followed any of the terms of this policy, and this prejudices our position, we have the right to: - Refuse or withdraw from the claim. - Refuse to cover costs – even if we’ve already agreed to them. - Ask you to reimburse costs that we’ve already paid.
Choosing who represents you",0.8107182752755288,The maximum number of claims allowed is 2 claims in 3 years.
11,What does the insurance cover if you cause an accident?,"The insurance will cover you if you are found legally responsible for an accident involving your car that injures or kills someone, and/or damages someone else’s property.",What does the insurance cover if you cause an accident?,"If you’re in a motor contract dispute We’ll provide cover for the costs for you to pursue or defend a breach of contract claim within the territorial limits for: - Buying or selling your car. - Buying or hiring goods or services for your car.
If you’re in a road traffic accident You can use this cover if you’re in a road traffic accident with a moving vehicle, as defined by the Road Traffic Act, where someone else is to blame.
We’ll pay the costs to help you claim your uninsured losses from the person who was to blame for the accident.
Examples of the uninsured losses you may claim for include: - Compensation for your death or bodily injury. - Accident repair costs if you don’t have Comprehensive or Comprehensive Plus cover (we’ll cover repair costs ourselves under these policies). - Damage to any belongings in your car that you’re legally responsible for. - Any other financial losses that happened as a direct result of the accident.
The motor legal helpline",0.8609544918577078,"The insurance will cover you if you are found legally responsible for an accident involving your car that injures or kills someone, and/or damages someone else’s property."
11,What is included in the coverage if someone needs emergency medical treatment?,The insurance will cover emergency medical treatment if it’s our responsibility under the Road Traffic Act.,What is included in the coverage if someone needs emergency medical treatment?,"We’ll provide cover up to the amounts shown in ‘What your cover includes’ on page 8.
If someone needs emergency medical treatment Included with: - TPFT - Essential - Comp - Comp+ Cover for other people Included with: - TPFT - Essential - Comp - Comp+ We’ll also cover any of the following people for their liability to others: - Anyone insured by this policy to drive your car, if they have the policyholder’s permission. - Anyone that the policyholder allows to use, but not drive, your car. - Anyone getting into or out of your car. - The legal representative of anyone covered if that person dies. - The employer or business partner of anyone covered while your car is being used for business purposes, if your certificate of motor insurance includes business use.
We’ll cover emergency medical treatment if it’s our responsibility under the Road Traffic Act.",0.8744573260053881,The insurance will cover emergency medical treatment if it’s our responsibility under the Road Traffic Act.
11,What is the coverage for other people?,"The insurance will also cover any of the following people for their liability to others: 
- Anyone insured by this policy to drive your car, if they have the policyholder’s permission.
- Anyone that the policyholder allows to use, but not drive, your car.
- Anyone getting into or out of your car.
- The legal representative of anyone covered if that person dies.
- The employer or business partner of anyone covered while your car is being used for business purposes, if your certificate of motor insurance includes business use.",What is the coverage for other people?,"We’ll provide cover up to the amounts shown in ‘What your cover includes’ on page 8.
If someone needs emergency medical treatment Included with: - TPFT - Essential - Comp - Comp+ Cover for other people Included with: - TPFT - Essential - Comp - Comp+ We’ll also cover any of the following people for their liability to others: - Anyone insured by this policy to drive your car, if they have the policyholder’s permission. - Anyone that the policyholder allows to use, but not drive, your car. - Anyone getting into or out of your car. - The legal representative of anyone covered if that person dies. - The employer or business partner of anyone covered while your car is being used for business purposes, if your certificate of motor insurance includes business use.
We’ll cover emergency medical treatment if it’s our responsibility under the Road Traffic Act.",0.8958093667874767,"The insurance will also cover any of the following people for their liability to others: - Anyone insured by this policy to drive your car, if they have the policyholder’s permission. - Anyone that the policyholder allows to use, but not drive, your car. - Anyone getting into or out of your car. - The legal representative of anyone covered if that person dies. - The employer or business partner of anyone covered while your car is being used for business purposes, if your certificate of motor insurance includes business use."
